Sampling rate: 500Hz, SamplingInterval: 2ms
Type, Description, Position, Length, Channel
Comment, Mismatch, 1171, 1, All
Threshold, R2, 1517, 1, All
Comment, Mismatch, 2421, 1, All
Threshold, R2, 2816, 1, All
Comment, Match, 3671, 1, All
Threshold, R1, 3972, 1, All
Comment, Match, 4920, 1, All
Threshold, R1, 5245, 1, All
Comment, Match, 6170, 1, All
Threshold, R1, 6397, 1, All
Comment, Mismatch, 7420, 1, All
Threshold, R2, 7783, 1, All
Comment, Match, 8670, 1, All
Threshold, R1, 9023, 1, All
Comment, Mismatch, 9920, 1, All
Threshold, R2, 10213, 1, All
Comment, Mismatch, 11170, 1, All
Threshold, R2, 11484, 1, All
Comment, Match, 12420, 1, All
Threshold, R1, 12701, 1, All
Comment, Match, 13669, 1, All
Threshold, R1, 13951, 1, All
Comment, Mismatch, 14919, 1, All
Threshold, R2, 15247, 1, All
Comment, Mismatch, 16169, 1, All
Threshold, R2, 16540, 1, All
Comment, Match, 17419, 1, All
Threshold, R1, 17702, 1, All
Comment, Mismatch, 18669, 1, All
Threshold, R2, 19054, 1, All
Comment, Mismatch, 19919, 1, All
Threshold, R2, 20313, 1, All
Comment, Match, 21168, 1, All
Threshold, R1, 21487, 1, All
Comment, Match, 22418, 1, All
Threshold, R1, 22810, 1, All
Comment, Match, 23668, 1, All
Threshold, R1, 24012, 1, All
Comment, Mismatch, 24918, 1, All
Threshold, R2, 25292, 1, All
Comment, Match, 26168, 1, All
Threshold, R1, 26304, 1, All
Comment, Mismatch, 27418, 1, All
Threshold, R2, 27694, 1, All
Comment, Mismatch, 28667, 1, All
Threshold, R2, 28936, 1, All
Comment, Match, 29917, 1, All
Threshold, R1, 30160, 1, All
Comment, Mismatch, 31167, 1, All
Threshold, R2, 31499, 1, All
Comment, Match, 32417, 1, All
Threshold, R1, 32682, 1, All
Comment, Mismatch, 33667, 1, All
Threshold, R2, 33931, 1, All
Comment, Match, 34917, 1, All
Threshold, R1, 35262, 1, All
Comment, Mismatch, 36166, 1, All
Threshold, R2, 36412, 1, All
Comment, Mismatch, 37416, 1, All
Threshold, R2, 37821, 1, All
Comment, Match, 38666, 1, All
Threshold, R1, 38901, 1, All
Comment, Mismatch, 39916, 1, All
Threshold, R2, 40260, 1, All
Comment, Mismatch, 41166, 1, All
Threshold, R2, 41486, 1, All
Comment, Match, 42416, 1, All
Threshold, R1, 42599, 1, All
Comment, Mismatch, 43666, 1, All
Threshold, R2, 43893, 1, All
Comment, Mismatch, 44915, 1, All
Threshold, R2, 45217, 1, All
Comment, Mismatch, 46165, 1, All
Threshold, R2, 46534, 1, All
Comment, Match, 47415, 1, All
Threshold, R1, 47676, 1, All
Comment, Mismatch, 48665, 1, All
Threshold, R2, 48994, 1, All
Comment, Match, 49915, 1, All
Threshold, R1, 50149, 1, All
Comment, Match, 51165, 1, All
Threshold, R1, 51518, 1, All
Comment, Match, 52414, 1, All
Threshold, R1, 52639, 1, All
Comment, Match, 53664, 1, All
Threshold, R2, 54056, 1, All
Comment, Mismatch, 54914, 1, All
Threshold, R2, 55328, 1, All
Comment, Mismatch, 56164, 1, All
Threshold, R2, 56513, 1, All
Comment, Match, 57414, 1, All
Threshold, R1, 57706, 1, All
Comment, Match, 58664, 1, All
Threshold, R1, 58973, 1, All
Comment, Mismatch, 59913, 1, All
Threshold, R2, 60375, 1, All
Comment, Match, 61163, 1, All
Threshold, R1, 61476, 1, All
Comment, Mismatch, 62413, 1, All
Threshold, R2, 62705, 1, All
Comment, Mismatch, 63663, 1, All
Threshold, R2, 63975, 1, All
Comment, Match, 64913, 1, All
Threshold, R1, 65197, 1, All
Comment, Match, 66163, 1, All
Threshold, R1, 66509, 1, All
Comment, Match, 67412, 1, All
Threshold, R1, 67741, 1, All
Comment, Mismatch, 68662, 1, All
Threshold, R2, 69048, 1, All
Comment, Match, 69912, 1, All
Threshold, R1, 70178, 1, All
Comment, Match, 71162, 1, All
Threshold, R1, 71449, 1, All
Comment, Match, 72412, 1, All
Threshold, R1, 72663, 1, All
Comment, Mismatch, 73662, 1, All
Threshold, R2, 74076, 1, All
Comment, Match, 74911, 1, All
Threshold, R1, 75191, 1, All
Comment, Mismatch, 76161, 1, All
Threshold, R2, 76563, 1, All
Comment, Mismatch, 77411, 1, All
Threshold, R2, 77913, 1, All
Comment, Match, 78661, 1, All
Threshold, R1, 79058, 1, All
Comment, Mismatch, 79911, 1, All
Threshold, R2, 80499, 1, All
Comment, Mismatch, 81161, 1, All
Threshold, R2, 81637, 1, All
Comment, Mismatch, 82411, 1, All
Threshold, R2, 82778, 1, All
Comment, Match, 83660, 1, All
Threshold, R1, 83965, 1, All
Comment, Mismatch, 84910, 1, All
Threshold, R2, 85330, 1, All
Comment, Match, 86160, 1, All
Threshold, R1, 86484, 1, All
Comment, Match, 87410, 1, All
Threshold, R1, 87826, 1, All
Comment, Mismatch, 88660, 1, All
Threshold, R2, 89023, 1, All
Comment, Match, 89910, 1, All
Threshold, R1, 90237, 1, All
Comment, Mismatch, 91159, 1, All
Threshold, R2, 91495, 1, All
Comment, Match, 92409, 1, All
Threshold, R2, 92846, 1, All
Comment, Mismatch, 93659, 1, All
Threshold, R2, 94001, 1, All
Comment, Match, 94909, 1, All
Threshold, R1, 95235, 1, All
Comment, Match, 96159, 1, All
Threshold, R1, 96447, 1, All
Comment, Match, 97409, 1, All
Threshold, R1, 97633, 1, All
Comment, Mismatch, 98658, 1, All
Threshold, R2, 99013, 1, All
Comment, Mismatch, 99908, 1, All
Threshold, R2, 100346, 1, All
Comment, Match, 101158, 1, All
Threshold, R1, 101417, 1, All
Comment, Mismatch, 102408, 1, All
Threshold, R2, 102779, 1, All
Comment, Mismatch, 103658, 1, All
Threshold, R2, 104060, 1, All
Comment, Match, 104908, 1, All
Threshold, R1, 105172, 1, All
Comment, Mismatch, 106157, 1, All
Threshold, R2, 106526, 1, All
Comment, Mismatch, 107407, 1, All
Threshold, R2, 107855, 1, All
Comment, Match, 108657, 1, All
Threshold, R1, 109016, 1, All
Comment, Mismatch, 109907, 1, All
Threshold, R2, 110295, 1, All
Comment, Match, 111157, 1, All
Threshold, R1, 111504, 1, All
Comment, Match, 112407, 1, All
Threshold, R1, 112709, 1, All
Comment, Match, 115017, 1, All
Threshold, R1, 115258, 1, All
Comment, Match, 116267, 1, All
Threshold, R1, 116577, 1, All
Comment, Mismatch, 117517, 1, All
Threshold, R2, 117865, 1, All
Comment, Mismatch, 118767, 1, All
Threshold, R1, 119217, 1, All
Comment, Mismatch, 120017, 1, All
Threshold, R2, 120360, 1, All
Comment, Match, 121267, 1, All
Threshold, R1, 121507, 1, All
Comment, Mismatch, 122517, 1, All
Threshold, R2, 122873, 1, All
Comment, Match, 123766, 1, All
Threshold, R1, 123985, 1, All
Comment, Match, 125016, 1, All
Threshold, R1, 125360, 1, All
Comment, Mismatch, 126266, 1, All
Threshold, R2, 126494, 1, All
Comment, Mismatch, 127516, 1, All
Threshold, R2, 127752, 1, All
Comment, Match, 128766, 1, All
Threshold, R1, 129148, 1, All
Comment, Match, 130016, 1, All
Threshold, R1, 130371, 1, All
Comment, Mismatch, 131265, 1, All
Threshold, R2, 131585, 1, All
Comment, Match, 132515, 1, All
Threshold, R1, 132726, 1, All
Comment, Match, 133765, 1, All
Threshold, R1, 134058, 1, All
Comment, Mismatch, 135015, 1, All
Threshold, R2, 135332, 1, All
Comment, Mismatch, 136265, 1, All
Threshold, R2, 136631, 1, All
Comment, Mismatch, 137515, 1, All
Threshold, R2, 137864, 1, All
Comment, Match, 138764, 1, All
Threshold, R1, 138978, 1, All
Comment, Mismatch, 140014, 1, All
Threshold, R2, 140312, 1, All
Comment, Match, 141264, 1, All
Threshold, R1, 141601, 1, All
Comment, Match, 142514, 1, All
Threshold, R1, 142826, 1, All
Comment, Mismatch, 143764, 1, All
Threshold, R2, 144045, 1, All
Comment, Match, 145014, 1, All
Threshold, R1, 145257, 1, All
Comment, Mismatch, 146263, 1, All
Threshold, R2, 146523, 1, All
Comment, Match, 147513, 1, All
Threshold, R1, 147803, 1, All
Comment, Mismatch, 148763, 1, All
Threshold, R2, 149046, 1, All
Comment, Match, 150013, 1, All
Threshold, R1, 150271, 1, All
Comment, Match, 151263, 1, All
Threshold, R1, 151706, 1, All
Comment, Mismatch, 152513, 1, All
Threshold, R2, 152809, 1, All
Comment, Match, 153762, 1, All
Threshold, R1, 154047, 1, All
Comment, Match, 155012, 1, All
Threshold, R1, 155363, 1, All
Comment, Mismatch, 156262, 1, All
Threshold, R2, 156616, 1, All
Comment, Match, 157512, 1, All
Threshold, R1, 157683, 1, All
Comment, Match, 158762, 1, All
Threshold, R1, 158955, 1, All
Comment, Match, 160012, 1, All
Threshold, R1, 160263, 1, All
Comment, Mismatch, 161262, 1, All
Threshold, R2, 161539, 1, All
Comment, Match, 162511, 1, All
Threshold, R1, 162751, 1, All
Comment, Mismatch, 163761, 1, All
Threshold, R2, 164008, 1, All
Comment, Mismatch, 165011, 1, All
Threshold, R2, 165394, 1, All
Comment, Mismatch, 166261, 1, All
Threshold, R2, 166592, 1, All
Comment, Mismatch, 167511, 1, All
Threshold, R1, 167849, 1, All
Comment, Match, 168761, 1, All
Threshold, R1, 169108, 1, All
Comment, Match, 170010, 1, All
Threshold, R1, 170263, 1, All
Comment, Mismatch, 171260, 1, All
Threshold, R2, 171582, 1, All
Comment, Mismatch, 172510, 1, All
Threshold, R2, 172841, 1, All
Comment, Match, 173760, 1, All
Threshold, R1, 174412, 1, All
Comment, Mismatch, 175010, 1, All
Threshold, R2, 175501, 1, All
Comment, Match, 176260, 1, All
Threshold, R1, 176641, 1, All
Comment, Match, 177509, 1, All
Threshold, R1, 177747, 1, All
Comment, Mismatch, 178759, 1, All
Threshold, R2, 179086, 1, All
Comment, Mismatch, 180009, 1, All
Threshold, R2, 180418, 1, All
Comment, Mismatch, 181259, 1, All
Threshold, R2, 181662, 1, All
Comment, Match, 182509, 1, All
Threshold, R1, 182863, 1, All
Comment, Mismatch, 183759, 1, All
Threshold, R2, 184105, 1, All
Comment, Mismatch, 185008, 1, All
Threshold, R2, 185439, 1, All
Comment, Mismatch, 186258, 1, All
Threshold, R2, 186753, 1, All
Comment, Match, 187508, 1, All
Threshold, R1, 187874, 1, All
Comment, Mismatch, 188758, 1, All
Threshold, R2, 189027, 1, All
Comment, Match, 190008, 1, All
Threshold, R1, 190308, 1, All
Comment, Match, 191258, 1, All
Threshold, R1, 191676, 1, All
Comment, Mismatch, 192507, 1, All
Threshold, R2, 192865, 1, All
Comment, Match, 193757, 1, All
Threshold, R1, 194080, 1, All
Comment, Match, 195007, 1, All
Threshold, R1, 195356, 1, All
Comment, Match, 196257, 1, All
Threshold, R1, 196506, 1, All
Comment, Mismatch, 197507, 1, All
Threshold, R2, 197763, 1, All
Comment, Match, 198757, 1, All
Threshold, R1, 199100, 1, All
Comment, Mismatch, 200007, 1, All
Threshold, R2, 200284, 1, All
Comment, Mismatch, 201256, 1, All
Threshold, R2, 201763, 1, All
Comment, Match, 202506, 1, All
Threshold, R1, 202823, 1, All
Comment, Mismatch, 203756, 1, All
Threshold, R2, 204168, 1, All
Comment, Match, 205006, 1, All
Threshold, R1, 205216, 1, All
Comment, Mismatch, 206256, 1, All
Threshold, R2, 206637, 1, All
Comment, Match, 207506, 1, All
Threshold, R1, 207782, 1, All
Comment, Mismatch, 208755, 1, All
Threshold, R2, 209317, 1, All
Comment, Mismatch, 210005, 1, All
Threshold, R1, 210440, 1, All
Comment, Mismatch, 211255, 1, All
Threshold, R2, 211623, 1, All
Comment, Match, 212505, 1, All
Threshold, R1, 212718, 1, All
Comment, Match, 213755, 1, All
Threshold, R1, 214023, 1, All
Comment, Mismatch, 215005, 1, All
Threshold, R2, 215501, 1, All
Comment, Match, 216254, 1, All
Threshold, R1, 216518, 1, All
Comment, Match, 217504, 1, All
Threshold, R1, 217764, 1, All
Comment, Mismatch, 218754, 1, All
Threshold, R2, 219153, 1, All
Comment, Match, 220004, 1, All
Threshold, R1, 220302, 1, All
Comment, Match, 221254, 1, All
Threshold, R1, 221524, 1, All
Comment, Mismatch, 222504, 1, All
Threshold, R2, 222761, 1, All
Comment, Match, 223753, 1, All
Threshold, R1, 223994, 1, All
Comment, Mismatch, 225003, 1, All
Threshold, R2, 225276, 1, All
Comment, Mismatch, 226253, 1, All
Threshold, R2, 226544, 1, All
